id,contentId,firstname,lastname,castMember,character,createdAt,createdBy,modifiedAt,modifiedBy,movieStar,nr,contentNr,,,
125,35,Arnolds,Linins,Arnolds Linins,Janis,,,,,,125,35,,,
126,35,Pauls,Butkevics,Pauls Butkevics,Oskars,,,,,,126,35,,,
127,35,Rostislav,Goryayev,Rostislav Goryayev,Dima,,,,,,127,35,,,
128,35,Ernest,Karelis,Ernest Karelis,Alberts,,,,,,128,35,,,
129,35,Antonija,Kleimane,Antonija Kleimane,Anna,,,,,,129,35,,,
130,36,Rolands,Zagorskis,Rolands Zagorskis,Vilnu Janis,,,,,1,130,36,,,
231,47,Dita,Lurina-Egliena,Dita Lurina-Egliena,Iveta Kronenberga,,,,,,206,47,,,
132,36,Eduards,Pavuls,Eduards Pavuls,Pakuls,,,,,,132,36,,,
114,34,Esmeralda,Ermale,Esmeralda Ermale,Baiba,,,,,1,114,34,,,
134,36,Maija,Eglite,Maija Eglite,Alide,,,,,,134,36,,,
110,33,Diana,Zande,Diana Zande,Lasma Spreslina,,,,,,110,33,,,
131,36,Esmeralda,Ermale,Esmeralda Ermale,Ilze,,,,,,114,36,,,
137,37,Ronalds,Neilands,Ronalds Neilands,Littlefinger,,,,,1,137,37,,,
138,37,Dace,Gasiuna,Dace Gasiuna,Lienite,,,,,,138,37,,,
139,37,Dzintra,Kletniece,Dzintra Kletniece,Step-mother,,,,,,139,37,,,
140,37,Elvira,Baldina,Elvira Baldina,Grandma,,,,,,140,37,,,
171,40,Evalds,Valters,Evalds Valters,Eidle,,,,,,171,40,,,
142,37,Anda,Zaice,Anda Zaice,Servant,,,,,,142,37,,,
143,37,Astrida,Kairisha,Astrida Kairisha,Ausma,,,,,,116,37,,,
144,37,Mirdza,Martinsone,Mirdza Martinsone,Mirdza,,,,,,144,37,,,
180,41,Evalds,Valters,Evalds Valters,Yoke,,,,,,171,41,,,
146,38,Eduards,Pavuls,Eduards Pavuls,Ermanis,,,,,1,132,38,,,
115,34,Girts,Jakovlevs,Girts Jakovlevs,Uldis,,,,,1,115,34,,,
167,40,Girts,Jakovlevs,Girts Jakovlevs,Rics,,,,,,115,40,,,
135,36,Diana,Zande,Diana Zande,Roze,,,,,,110,36,,,
209,44,Guna,Zarina,Guna Zarina,Ieva Liepina,,,,,,209,44,,,
151,38,Astrida,Kairisha,Astrida Kairisha,Veronika,,,,,,116,38,,,
177,41,Diana,Zande,Diana Zande,Lina,,,,,,110,41,,,
221,45,Guna,Zarina,Guna Zarina,Minna,,,,,,209,45,,,
118,34,Elza,Radzina,Elza Radzina,Mother,,,,,,118,34,,,
112,33,Gundars,Abolins,Gundars Abolins,Ugis Tuters,,,,,,112,33,,,
156,39,Eduards,Pavuls,Eduards Pavuls,Ermanis,,,,,,132,39,,,
213,44,Gundars,Abolins,Gundars Abolins,Viktors,,,,,,112,44,,,
145,38,Haralds,Ritenbergs,Haralds Ritenbergs,Andris,,,,,1,145,38,,,
152,38,Elza,Radzina,Elza Radzina,Getrude,,,,,,118,38,,,
155,39,Haralds,Ritenbergs,Haralds Ritenbergs,Andris,,,,,,145,39,,,
161,39,Astrida,Kairisha,Astrida Kairisha,Veronika,,,,,,116,39,,,
162,39,Elza,Radzina,Elza Radzina,Getrude,,,,,,118,39,,,
181,41,Harijs,Liepins,Harijs Liepins,Emils Svensons,,,,,,181,41,,,
216,45,Imants,Strads,Imants Strads,Vanya,,,,,,216,45,,,
165,40,Astrida,Kairisha,Astrida Kairisha,Laura,,,,,1,116,40,,,
187,42,Harijs,Liepins,Harijs Liepins,Zero,,,,,,181,42,,,
150,38,Igrida,Andrina,Igrida Andrina,Cecilija,,,,,,150,38,,,
168,40,Gunars,Cilinskis,Gunars Cilinskis,Rudolfs,,,,,1,168,40,,,
169,40,Lidija,Freimane,Lidija Freimane,Alvine,,,,,,169,40,,,
170,40,Egils,Veseris,Egils Veseris,Maris,,,,,,170,40,,,
160,39,Igrida,Andrina,Igrida Andrina,Cecilija,,,,,,150,39,,,
141,37,Juris,Strenga,Juris Strenga,Andris,,,,,,141,37,,,
173,41,Maris,Sonnenbergs-Sambergs,Maris Sonnenbergs-Sambergs,Emils,,,,,1,173,41,,,
174,41,Madara,Dislere,Madara Dislere,Ida,,,,,,174,41,,,
175,41,Dace,Eversa,Dace Eversa,Mother,,,,,,175,41,,,
222,46,Imants,Strads,Imants Strads,Drug dealer,,,,,,216,46,,,
234,47,Imants,Strads,Imants Strads,Jurciks,,,,,,216,47,,,
191,43,Juris,Zagars,Juris Zagars,Roberts Jurevics,,,,,1,191,43,,,
207,44,Juris,Strenga,Juris Strenga,Martins,,,,,1,141,44,,,
219,45,Juris,Zagars,Juris Zagars,Krasts,,,,,1,191,45,,,
153,38,Karlis,Sebris,Karlis Sebris,Samsons,,,,,,153,38,,,
163,39,Karlis,Sebris,Karlis Sebris,Samsons,,,,,,153,39,,,
196,43,Lauris,Dzelzitis,Lauris Dzelzitis,Martins,,,,,,196,43,,,
184,42,Leons,Krivans,Leons Krivans,Spulgis Roze,,,,,,184,42,,,
185,42,Egons,Maisaks,Egons Maisaks,Adolfs Kronis,,,,,,185,42,,,
186,42,Helena,Romanova,Helena Romanova,Lora,,,,,,186,42,,,
238,48,Lauris,Dzelzitis,Lauris Dzelzitis,Arvis Smedins,,,,,,196,48,,,
188,42,Eduards,Pavuls,Eduards Pavuls,Sietins,,,,,,132,42,,,
189,42,Velta,Skurstene,Velta Skurstene,Sietiniete,,,,,,189,42,,,
136,36,Lilita,Ozolina,Lilita Ozolina,Anne,,,,,,136,36,,,
166,40,Lilita,Ozolina,Lilita Ozolina,Vija,,,,,,136,40,,,
192,43,KristIne,Nevarauska,KristIne Nevarauska,Liga Eglite,,,,,,192,43,,,
193,43,Ivars,Puga,Ivars Puga,Ivo Balodis,,,,,,193,43,,,
194,43,Girts,Kesteris,Girts Kesteris,Leons Timmermanis,,,,,,194,43,,,
195,43,Ilze,Pukinska,Ilze Pukinska,Silvija Felzenbahere,,,,,,195,43,,,
148,38,Lolita,Cauka,Lolita Cauka,Ruta,,,,,,148,38,,,
197,43,Ieva,Ava,Ieva Ava,Katrina Petersone,,,,,,197,43,,,
198,43,Ilze,Vazdika,Ilze Vazdika,Milda Upite,,,,,,198,43,,,
199,43,Zane,Daudzina,Zane Daudzina,Helena Felzenbahere,,,,,,199,43,,,
200,43,Jakovs,Rafalsons,Jakovs Rafalsons,Vadims Felzenbahers,,,,,,200,43,,,
109,33,Olga,Drege,Olga Drege,Dagnija Tutere,,,,,1,109,33,,,
202,43,Rezija,Kalnina,Rezija Kalnina,Diana Bernedeti,,,,,,202,43,,,
149,38,Olga,Drege,Olga Drege,Anna,,,,,,109,38,,,
204,43,Gints,Gravelis,Gints Gravelis,Gustavs,,,,,,204,43,,,
205,43,Egils,Melbardis,Egils Melbardis,Gunars Liepins,,,,,,205,43,,,
158,39,Lolita,Cauka,Lolita Cauka,Ruta,,,,,,148,39,,,
172,40,Rudolfs,Plepis,Rudolfs Plepis,Janka,,,,,,172,40,,,
159,39,Olga,Drege,Olga Drege,Anna,,,,,,109,39,,,
178,41,Rudolfs,Plepis,Rudolfs Plepis,Alfreds,,,,,,172,41,,,
210,44,Alise,Dzene,Alise Dzene,Alise,,,,,,210,44,,,
211,44,Lasma,Kugrena,Lasma Kugrena,Priedene,,,,,,211,44,,,
212,44,Kaspars,Znotins,Kaspars Znotins,Arnitis,,,,,,212,44,,,
29,6,Tomáš,Maštalír,Tomáš Maštalír,Karel Hoffmann,,,,,,29,6,,,
214,44,Ivars,Kalnins,Ivars Kalnins,Caune,,,,,,214,44,,,
215,44,Kristians,Teterovskis,Kristians Teterovskis,Vidvuds,,,,,,215,44,,,
108,33,Uldis,Dumpis,Uldis Dumpis,Eriks Tuters,,,,,,108,33,,,
120,34,Uldis,Dumpis,Uldis Dumpis,Didzis,,,,,,108,34,,,
176,41,Uldis,Dumpis,Uldis Dumpis,Father,,,,,1,108,41,,,
32,7,Tomáš,Maštalír,Tomáš Maštalír,Max,,,,,1,29,7,,,
122,35,Uldis,Pucitis,Uldis Pucitis,Cezars Kalnins,,,,,1,122,35,,,
133,36,Uldis,Pucitis,Uldis Pucitis,Vejs,,,,,,122,36,,,
203,43,Vilis,Daudzins,Vilis Daudzins,Armands,,,,,,203,43,,,
223,46,Janis,Reinis,Janis Reinis,Boleslavs Cipskis,,,,,,223,46,,,
224,46,Zane,Valicka,Zane Valicka,Katrina Plume,,,,,,224,46,,,
225,46,Uldis,Norenbergs,Uldis Norenbergs,Olgerts Balonskis,,,,,,225,46,,,
208,44,Vilis,Daudzins,Vilis Daudzins,Nomnieks,,,,,,203,44,,,
227,46,Uldis,Anze,Uldis Anze,Ilmars Broks,,,,,,227,46,,,
228,46,Juris,Rijnieks,Juris Rijnieks,Jekabs Zile,,,,,,228,46,,,
229,47,Ainars,Ancevskis,Ainars Ancevskis,Roberts Meirans,,,,,1,229,47,,,
230,47,Martins,Egliens,Martins Egliens,Andris Riekstins,,,,,,230,47,,,
179,41,Vija,Artmane,Vija Artmane,The Shelter Superintendant,,,,,,179,41,,,
232,47,Darta,Danevica,Darta Danevica,Beate Andersone,,,,,1,232,47,,,
233,47,Marija,Linarte,Marija Linarte,Marija,,,,,,233,47,,,
218,45,Vilis,Daudzins,Vilis Daudzins,Lazdovskis,,,,,,203,45,,,
235,48,Karīna,Tatarinova,Karīna Tatarinova,Margarita Sirma,,,,,1,235,48,,,
236,48,Andris,Bulis,Andris Bulis,Maris Krauze,,,,,,236,48,,,
237,48,Evija,Skulte,Evija Skulte,Marta Klava,,,,,,237,48,,,
183,42,Vija,Artmane,Vija Artmane,Knopiene,,,,,1,179,42,,,
239,48,Karlis,Neimanis,Karlis Neimanis,Kondrads Savickis,,,,,,239,48,,,
240,48,Lauris,Subatnieks,Lauris Subatnieks,Karlis Vasalnieks,,,,,,240,48,,,
241,48,Elina,Vane,Elina Vane,Baiba Damberga,,,,,,241,48,,,
242,48,Alise,Polacenko,Alise Polacenko,Jolanta Jurkute,,,,,1,242,48,,,
243,48,Kristians,Karelins,Kristians Karelins,Konstantīns Ekis,,,,,,243,48,,,
244,48,Sarnite,Rubule,Sarnite Rubule,Olga,,,,,,244,48,,,
245,49,Agata,Trzebuchowska,Agata Trzebuchowska,Agniezka,,,,,,245,49,,,
246,49,Agata,Kulesza,Agata Kulesza,Aleksandra,,,,,,246,49,,,
247,50,Adrien,Brody,Adrien Brody,Jankek,,,,,,247,50,,,
248,50,Thomas,Kretschmann,Thomas Kretschmann,Anna / Ida,,,,,,248,50,,,
249,51,Krzysztof,Zanussi,Krzysztof Zanussi,Wanda,,,,,,249,51,,,
250,51,Beata,Tyszkiewicz,Beata Tyszkiewicz,Władysław Szpilman,,,,,,250,51,,,
251,52,Danuta,Stenka,Danuta Stenka,Captain Wilm Hosenfeld,,,,,,251,52,,,
252,52,Borys,Szyc,Borys Szyc,Mateusz Birkut,,,,,,252,52,,,
253,53,Jacek,Braciak,Jacek Braciak,Documentary Filmmaker,,,,,,253,53,,,
254,53,Artur,Żmijewski,Artur Żmijewski,Mother,,,,,,254,53,,,
255,54,Tomasz,Kot,Tomasz Kot,Groom,,,,,,255,54,,,
256,54,Joanna,Kulig,Joanna Kulig,Father Dariusz,,,,,,256,54,,,
257,55,Marcin,Dorociński,Marcin Dorociński,Father Adam,,,,,,257,55,,,
258,55,Jacek,Borcuch,Jacek Borcuch,Wiktor,,,,,,258,55,,,
259,56,Bohdan,Łazuka,Bohdan Łazuka,Zula,,,,,,259,56,,,
260,56,Cezary,Pazura,Cezary Pazura,Krzysztof,,,,,,260,56,,,
261,57,Dawid,Ogrodnik,Dawid Ogrodnik,Loan Shark,,,,,,261,57,,,
262,57,Maja,Ostaszewska,Maja Ostaszewska,Former Police Officer,,,,,,262,57,,,
263,58,Marta,Mazurek,Marta Mazurek,Protagonist,,,,,,263,58,,,
264,58,Michalina,Olszańska,Michalina Olszańska,Adam,,,,,,264,58,,,
